X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Workers_16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car_truck_or_van_carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Pct_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
-83.753886908511703,32.647663080999557,106,Byron,5537.50976563,8.65235996, , ,2234,1832,82,345,15.4,0,0,9,0.4,21.8,{5D8BC9E5-850A-40DD-A907-54E6E10C7BE7},
-81.93045413500856,32.153590449696289,107,Hagan,1379.86999512,2.15604997, , ,372,270,72.6,63,16.9,0,0,5,1.3,22.7,{800B7B0D-92BB-4838-A008-13CDDB744220},
-81.835592961870034,32.151149802265479,108,Daisy,593.68902588,0.92763901, , ,40,31,77.5,0,0,0,0,0,0,22.1,{FD24C7F1-9A56-4A26-ADA0-BED90B1D1B04},
-81.909360384194969,32.161346305911557,109,Claxton,1123.06994629,1.75479996, , ,669,465,69.5,135,20.2,0,0,11,1.6,18.9,{340A4177-8B36-4C83-A26F-E4CCDDF4FBF4},
-81.974357214127508,32.152563899449291,110,Bellville,647.90002441,1.01233995, , ,104,76,73.1,18,17.3,0,0,0,0,15.1,{C766E70D-35C8-4CD9-812F-8944E70752FF},
-82.014594215918066,33.091118108378325,111,Waynesboro,3503.2800293,5.4738698, , ,1897,1658,87.4,152,8,0,0,46,2.4,20.2,{C295CC33-45DD-4204-8D8B-B687C48980A0},
-82.247441425225574,33.037592339327702,112,Vidette,623.63897705,0.97443599, , ,40,34,85,6,15,0,0,0,0,24,{40E4FCB7-3045-42BA-8448-6EF168ED1637},
-81.762127186534386,32.975587677956774,113,Sardis,1000.64001465,1.56350005, , ,301,223,74.1,46,15.3,0,0,12,4,34,{84111843-2221-4902-873C-DC2BBF18E75D},
-82.234609047061682,32.821756865793134,114,Midville,1278.72998047,1.99802005, , ,91,81,89,10,11,0,0,0,0,46.3,{5AB14B4E-53F6-471A-B2BD-BCCB7ABF55FB},
-82.228946156355477,33.237439468747873,115,Keysville,689.13800049,1.07677996, , ,113,90,79.6,23,20.4,0,0,0,0,34,{53FA56C2-7144-4143-81A0-3017F3A23ACA},
-82.403340633454278,32.213365122020335,116,Vidalia,11290,17.6406002, , ,3990,3194,80.1,402,10.1,27,0.7,172,4.3,18.8,{57D9E7F7-7ED3-4767-BF08-EF6106D26C46},
